3.03134 -2.04574 -2.04574 1 1 
3.05718 -1.94913 -1.94913 1 1 
3.08322 -1.85258 -1.85258 1 1 
3.10947 -1.75609 -1.75609 1 1 
3.13592 -1.65965 -1.65965 1 1 
3.16259 -1.56327 -1.56327 1 1 
3.18946 -1.46695 -1.46695 1 1 
3.21655 -1.37069 -1.37069 1 1 
3.24384 -1.27449 -1.27449 1 1 
3.27135 -1.17834 -1.17834 1 1 
3.29908 -1.08227 -1.08227 1 1 
3.32702 -0.986248 -0.986248 1 1 
3.35518 -0.890295 -0.890295 1 1 
3.38356 -0.794405 -0.794405 1 1 
3.41215 -0.698581 -0.698581 1 1 
3.44097 -0.602823 -0.602823 1 1 
3.47001 -0.507132 -0.507132 1 1 
3.49927 -0.411509 -0.411509 1 1 
3.52876 -0.315955 -0.315955 1 1 
3.55847 -0.22047 -0.22047 1 1 
3.5884 -0.125056 -0.125056 1 1 
3.61856 -0.0297135 -0.0297135 1 1 
3.64895 0.0655567 0.0655567 1 1 
3.67957 0.160754 0.160754 1 1 
3.71042 0.255876 0.255876 1 1 
3.7415 0.350924 0.350924 1 1 
3.77281 0.445896 0.445896 1 1 
3.80436 0.54079 0.54079 1 1 
3.83613 0.635607 0.635607 1 1 
3.86814 0.730346 0.730346 1 1 
3.90039 0.825005 0.825005 1 1 
3.93287 0.919583 0.919583 1 1 
3.96558 1.01408 1.01408 1 1 
3.99853 1.1085 1.1085 1 1 
4.03172 1.20283 1.20283 1 1 
4.06514 1.29708 1.29708 1 1 
4.0988 1.39124 1.39124 1 1 
4.1327 1.48532 1.48532 1 1 
4.16683 1.57932 1.57932 1 1 
4.2012 1.67322 1.67322 1 1 
4.23581 1.76705 1.76705 1 1 
4.27065 1.86078 1.86078 1 1 
4.30573 1.95443 1.95443 1 1 
4.34104 2.04798 2.04798 1 1 
4.37658 2.14145 2.14145 1 1 
4.41236 2.23484 2.23484 1 1 
4.44836 2.32813 2.32813 1 1 
4.4846 2.42133 2.42133 1 1 
4.52106 2.51445 2.51445 1 1 
4.55774 2.60748 2.60748 1 1 
4.59465 2.70042 2.70042 1 1 
4.63178 2.79327 2.79327 1 1 
4.66912 2.88604 2.88604 1 1 
4.70667 2.97872 2.97872 1 1 
4.74442 3.07132 3.07132 1 1 
4.78238 3.16383 3.16383 1 1 
4.82054 3.25627 3.25627 1 1 
4.85889 3.34862 3.34862 1 1 
4.89741 3.4409 3.4409 1 1 
4.93612 3.53311 3.53311 1 1 
4.97499 3.62524 3.62524 1 1 
5.01402 3.71731 3.71731 1 1 
5.05319 3.80932 3.80932 1 1 
5.0925 3.90127 3.90127 1 1 
5.13193 3.99317 3.99317 1 1 
5.17147 4.08502 4.08502 1 1 
5.2111 4.17683 4.17683 1 1 
5.2508 4.26861 4.26861 1 1 
5.29056 4.36036 4.36036 1 1 
5.33036 4.4521 4.4521 1 1 
5.37016 4.54384 4.54384 1 1 
5.40995 4.63558 4.63558 1 1 
5.4497 4.72734 4.72734 1 1 
5.48937 4.81913 4.81913 1 1 
5.52893 4.91097 4.91097 1 1 
5.56834 5.00287 5.00287 1 1 
5.60756 5.09486 5.09486 1 1 
5.64654 5.18694 5.18694 1 1 
5.68523 5.27914 5.27914 1 1 
5.72358 5.37149 5.37149 1 1 
5.76151 5.46401 5.46401 1 1 
5.79897 5.55672 5.55672 1 1 
